Temperature (°C),Time (h),Firmness * (kg·cm−2) Values for Different Apple Varieties,Firmness * (kg·cm−2) Values for Different Apple Varieties,Firmness * (kg·cm−2) Values for Different Apple Varieties,Firmness * (kg·cm−2) Values for Different Apple Varieties
Temperature (°C),Time (h),Granny Smith,Pink Lady,Red Delicious,Royal Gala
2,0,8.61 ± 0.25,7.38 ± 0.26,7.86 ±0.24,8.14 ± 0.28
2,12,8.41 ± 0.36,8.71 ± 0.51,7.81 ± 0.49,8.13 ± 0.10
2,24,8.07 ± 0.47,8.37 ± 0.33,7.75 ± 0.33,7.90 ± 0.15
2,36,7.98 ± 0.72,8.60 ± 0.19,7.62 ± 0.50,7.72 ± 0.46
2,48,7.83 ± 0.54,8.69 ± 0.16,7.32 ± 0.18,7.63 ± 0.51
4,0,8.61 ± 0.25,8.69 ± 0.45,7.86 ± 0.24,8.14 ± 0.28
4,12,8.25 ± 0.23,8.38 ± 0.46,7.55 ± 0.22,8.02 ± 0.57
4,24,7.89 ± 0.33,8.12 ± 0.14,7.54 ± 0.33,7.75 ± 0.33
4,36,7.63 ± 0.28,7.99 ± 0.25,7.37 ± 0.47,7.61 ± 0.26
4,48,7.32 ± 0.27,7.80 ± 0.33,7.05 ± 0.43,7.38 ± 0.80
6,0,8.61 ± 0.25,8.69 ± 0.45,7.86 ± 0.24,8.14 ± 0.28
6,12,8.08 ± 0.26,8.29 ± 0.42,7.48 ± 0.32,7.90 ± 0.30
6,24,7.63 ± 0.32,8.05 ± 0.55,7.43 ± 0.38,7.57 ± 0.52
6,36,7.30 ± 0.34,7.81 ± 0.33,7.25 ± 0.33,7.37 ± 0.73
6,48,7.16 ± 0.05,7.58 ± 0.48,7.00 ± 0.10,7.23 ± 0.79
8,0,8.61 ± 0.25,8.69 ± 0.45,7.86 ± 0.24,8.14 ± 0.28
8,12,7.98 ± 0.16,8.16 ± 0.20,7.32 ± 0.25,7.83 ± 0.31
8,24,7.53 ± 0.43,7.90 ± 0.19,7.24 ± 0.58,7.31 ± 0.39
8,36,7.22 ± 0.24,7.73 ± 0.08,7.07 ± 0.40,7.07 ± 0.40
8,48,7.05 ± 0.24,7.37 ± 0.60,6.85 ± 0.28,7.07 ± 0.49
10,0,8.61 ± 0.25,8.69 ± 0.45,7.86 ± 0.24,8.14 ± 0.28
10,12,7.79 ± 0.34,8.08 ± 0.40,7.32 ± 0.20,7.58 ± 0.51
10,24,7.37 ± 0.05,7.82 ± 0.23,7.24 ± 0.24,7.21 ± 0.26
10,36,7.11 ± 0.12,7.33 ± 0.50,7.07 ± 0.18,6.93 ± 0.28
10,48,6.88 ± 0.31,7.05 ± 0.60,6.85 ± 0.26,6.97 ± 0.53
