Storage Time,Storage Temperature,Total Bacterial Count,Aerobic Spore-Forming Bacteria,Anaerobic Spore-Forming Bacteria
(Months),(°C),(log CFU/g),(log CFU/g),(log CFU/g)
0.0,-,3.84 ± 0.34 A,2.06 ± 0.19 A,1.65 ± 0.15 A
1.0,40,5.88 ± 0.55 B,3.17 ± 0.29 B,2.11 ± 0.19 B
3.0,–18,3.80 ± 0.34 aA,2.03 ± 0.18 aA,1.67 ± 0.15 aA
,5,4.83 ± 0.44 bB,2.50 ± 0.22 bB,"1.95 ± 0.17 aA,B"
,25,5.07 ± 0.47 bB,2.95 ± 0.27 bB,2.36 ± 0.21 bB
,40,7.55 ± 0.69 cC,3.43 ± 0.30 cB,2.64 ± 0.24 bC
6.0,5,5.33 ± 0.49 aB,2.66 ± 0.23 aC,2.12 ± 0.20 aB
,25,6.82 ± 0.61 bC,3.10 ± 0.28 bB,2.55 ± 0.23 aB
,40,11.01 ± 1.26 cD,6.22 ± 0.56 cC,4.59 ± 0.42 bD
12.0,–18,4.56 ± 0.41 aB,2.41 ± 0.21 aB,1.96 ± 0.17 aB
,5,5.67 ± 0.52 bB,3.31 ± 0.29 bD,2.50 ± 0.23 bB
,25,9.69 ± 0.89 cD,4.40 ± 0.40 cC,3.28 ± 0.31 cC
18.0,5,6.59 ± 0.59 aC,3.01 ± 0.27 aD,2.35 ± 0.21 aB
,25,10.51 ± 1.10 bD,6.45 ± 0.59 bD,4.68 ± 0.43 bD
24.0,–18,5.73 ± 0.53 aC,2.91 ± 0.26 aC,2.18 ± 0.20 aB
,5,9.22 ± 0.83 bC,4.00 ± 0.34 bE,3.29 ± 0.29 bC
