Sample,Storage Time,Storage Temperature,Ammonia Content,TBARS-Value
Unnamed: 0_level_1,(Months),(°C),(mg/kg),(A538/mg)
Instant,0.0,-,39.9 ± 0.8 A,136.2 ± 3.1 A
goulash,1.0,40,95.2 ± 2.7 B,157.1 ± 3.2 B
soup,3.0,–18,101.4 ± 2.9 aB,143.5 ± 3.1 aB
,,5,128.2 ± 3.0 bB,144.3 ± 3.2 aB
,,25,152.3 ± 3.2 cB,154.8 ± 3.3 bB
,,40,161.8 ± 3.6 dC,306.7 ± 5.6 cC
,6.0,5,147.1 ± 3.6 aC,161.3 ± 3.6 aC
,,25,168.2 ± 3.7 bC,169.1 ± 3.7 aC
,,40,194.2 ± 3.9 cD,351.9 ± 4.9 cD
,9.0,5,155.3 ± 3.3 aD,180.4 ± 3.9 aD
,,25,176.1 ± 3.8 bD,191.1 ± 4.0 bD
,,40,"249.5 ± 5,7 cE","401.7 ± 6,1 cE"
,12.0,–18,130.9 ± 3.1 aC,150.4 ± 3.7 aC
,,5,169.4 ± 3.7 bE,189.0 ± 4.2 bE
,,25,188.2 ± 3.9 cE,203.8 ± 4.8 cE
,,40,NE **,NE
,15.0,5,175.4 ± 2.6 aF,199.3 ± 3.3 aF
,,25,206.3 ± 3.4 bF,206.7 ± 2.1 bF
,,40,NE,NE
,18.0,5,182.9 ± 3.9 aG,197.7 ± 4.6 aF
,,25,215.8 ± 3.5 bG,203.6 ± 3.0 bF
,,40,NE,NE
,21.0,5,190.9 ± 3.7 H,192.5 ± 2.7 F
,,25,NE,NE
,,40,NE,NE
,24.0,–18,190.4 ± 3.1 aD,177.4 ± 3.3 aD
,,5,205.5 ± 3.4 bI,185.4 ± 4.1 bE
,,25,NE,NE
,,40,NE,NE
Szeged,0.0,-,45.7 ± 1.0 A,167.0 ± 3.3 A
goulash,1.0,40,55.9 ± 1.1 B,241.4 ± 4.7 B
,3.0,–18,48.2 ± 1.0 aB,208.8 ± 4.1 aB
,,5,50.8 ± 1.0 bB,218.4 ± 4.2 bB
,,25,53.3 ± 1.1 cB,236.1 ± 4.6 cB
,,40,60.9 ± 1.3 dC,299.7 ± 5.0 dC
,6.0,5,54.1 ± 1.2 aC,278.1 ± 5.2 aC
,,25,56.5 ± 1.2 aC,302.7 ± 5.6 bC
,,40,66.3 ± 1.4 bD,357.1 ± 6.1 cD
,9.0,5,57.2 ± 1.2 aD,305.9 ± 6.0 aD
,,25,59.7 ± 1.3 aD,349.2 ± 6.4 bD
,,40,82.5 ± 3.2 bD,409.5± 8.3 cD
