variety,n_temps,temps,deltaT,Psi_n,lambda_min,cond,inv_CV_Ea,Ea_boot,realCV_Ea,realSE_Ea,crit_E,crit_D,crit_A,crit_c_deg,crit_c_krug,crit_c_Ea,crit_cond,crit__lambda_min,crit__align_krug_vs_vmin_abscos
Royal Gala,2,8/10,2,0.0100191764730729,0.0010019176473072,611740.7334528372,1.6638876745878504,17.290072142064503,23.27364840460351,282.984396258063,3.8635062749668585e-05,0.030217972503537117,7.72699991878539e-05,3.863506274976648e-05,3.863506274978524e-05,4.565629311122628e-05,611740.7334750694,3.8635062749668585e-06,0.9999999999997571
Royal Gala,2,6/8,2,0.0102857014592278,0.0010285701459227,597202.3246621523,0.3643665659776739,77.97125762484889,7.034654360902217,352.5977869288382,3.966281284439367e-05,0.030650972288873323,7.932549286032176e-05,3.966281284441413e-05,3.9662812844434625e-05,4.697410511266405e-05,597202.3246766139,3.966281284439367e-06,0.9999999999997415
Royal Gala,2,4/6,2,0.010561018848553,0.0010561018848553,582940.3181505859,0.4075287818017891,70.48526002324012,7.010335429349044,429.05761655392314,4.0724467427355406e-05,0.031093346054390854,8.144879513389477e-05,4.0724467427268066e-05,4.072446742729048e-05,4.8339808442905155e-05,582940.3181541935,4.07244674273554e-06,0.9999999999997249
Royal Gala,2,2/4,2,0.0108454741499707,0.001084547414997,568951.0091450487,0.2847391337220296,100.438422341205,3.108866962838303,409.0364140662996,4.182135881917261e-05,0.03154536634972762,8.364257062626107e-05,4.182135881908208e-05,4.1821358819106594e-05,4.975550690692639e-05,568951.0091399736,4.182135881917261e-06,0.9999999999997071
Royal Gala,2,6/10,4,0.0406080122629199,0.0040608012262919,151101.54021331956,0.2981531951807987,47.71383142288097,4.989646578755016,175.1443092885666,0.0001565890276715352,0.06086894479279094,0.00031317598272249735,0.0001565890276709457,0.0001565890276722011,0.00018525142200939137,151101.5402119932,1.565890276715352e-05,0.9999999999959917
Royal Gala,2,4/8,4,0.0416916275758309,0.004169162757583,147501.7285723046,0.1935613731618281,74.00350634560482,2.4544620303066313,171.54050487601882,0.00016076756926251769,0.06174431834361623,0.00032153295866663227,0.00016076756926277586,0.0001607675692641479,0.0001906180423858912,147501.7285721617,1.607675692625177e-05,0.999999999995733
Royal Gala,2,2/6,4,0.0428111002816636,0.0042811100281663,143970.5529169495,0.1644559769439329,85.74515496704414,2.7607942140728023,207.92839160430196,0.00016508438096322526,0.06263871240429589,0.0003301664686348849,0.0001650843809632737,0.0001650843809647739,0.00019618041458340464,143970.55291747057,1.6508438096322527e-05,0.9999999999954562
Royal Gala,3,6/8/10,4,0.0609133883963744,0.0040608925597582,226645.9381595408,0.3037695922607425,48.33505164547219,4.1501828979083015,165.97617749221317,0.00023488882438509257,0.11182433505492209,0.00046977557603950887,0.00023488882438418227,0.00023488882438501925,0.0002778818202327882,226645.93816026414,1.565925495900617e-05,0.9999999999982184
Royal Gala,3,4/6/8,4,0.062538872792653,0.0041692581861768,221246.25021520513,0.1945388511272699,74.04114903733524,2.506131158454472,195.83161020078865,0.0002411568736419921,0.11343252627633484,0.0004823115673100606,0.00024115687364314727,0.00024115687364406193,0.0002859319559429195,221246.25021628858,1.607712490946614e-05,0.9999999999981036
Royal Gala,3,2/4/6,4,0.0642181465036012,0.0042812097669067,215949.5157737159,0.1626729929585644,85.67497027465821,2.3154180765651753,205.7018683581439,0.00024763234050176753,0.11507566140157433,0.0004952623875849755,0.0002476323405012123,0.0002476323405022125,0.0002942757299335507,215949.51577344764,1.6508822700117834e-05,0.9999999999979804
Royal Gala,2,4/10,6,0.0925870211128031,0.0092587021112803,66346.82554002658,0.1703641505499609,55.73229370208773,2.954737693319322,126.48621258119732,0.0003570258873313845,0.09196229084736232,0.0007140410124152626,0.0003570258873317967,0.000357025887346751,0.00042285314689474295,66346.8255400163,3.570258873313845e-05,0.9999999999790566
Royal Gala,2,2/8,6,0.0950654878372414,0.0095065487837241,64762.304824584055,0.1144787385412224,82.9223482357706,1.6140928187800725,114.68563139702304,0.00036658313165005655,0.09328968469334349,0.0007331549425955287,0.0003665831316502224,0.00036658313166657014,0.00043514826350917184,64762.30482457559,3.6658313165005653e-05,0.9999999999777021
Royal Gala,3,4/6/10,6,0.1436820497153815,0.0095788033143587,96229.05595572488,0.1723708300194484,54.43646543584384,2.6949935375676906,121.5221606796476,0.0005540540204937639,0.17187203664513942,0.0011080965257903388,0.000554054020493614,0.0005540540205046713,0.0006564443773455146,96229.05595596632,3.693693469958426e-05,0.9999999999900214
Royal Gala,3,4/8/10,6,0.1443762403760109,0.009625082691734,95695.44918139948,0.1638660339018047,58.38796390983431,2.3372556766032053,120.87727189757322,0.000556730897163646,0.17222292735785896,0.0011134501589780514,0.0005567308971646233,0.0005567308971758049,0.0006591274823935629,95695.44918133688,3.7115393144243065e-05,0.9999999999899578
Royal Gala,3,2/4/8,6,0.147525145149095,0.0098350096766063,93933.52019097887,0.1128896415538797,81.83473562793364,1.5131912327334396,113.95529940751496,0.0005688734254259725,0.17435160330801067,0.001137734738724612,0.0005688734254258731,0.0005688734254379598,0.0006755218128016429,93933.52019117805,3.792489502839816e-05,0.9999999999893765
