bin,n_designs,Psi_median,Psi_lo,Psi_hi,coverage,coverage_ci95,median_SE_ratio,median_R2,median_relerr,cov_t,cov_z,cov_znodf
0,100,0.17762694665787085,0.012854862538123938,0.4205999976125597,0.94765,"[0.9454239212004585, 0.9497901024447106]",1.5739259255661318,0.9602447613073766,0.18384668820272895,0.94765,0.786975,0.66425
1,100,0.7485918749842002,0.4207401603010637,1.2252313964028394,0.94,"[0.9376301036168443, 0.9422853892992159]",1.6429063323002877,0.9892708504315381,0.09731238484325513,0.94,0.778875,0.662575
2,100,1.9865823860545508,1.2614129451625071,2.9252177557620413,0.944825,"[0.9425444318565367, 0.9470201343625236]",1.4616046226941106,0.9957084706896957,0.05228507993963678,0.944825,0.80735,0.700825
3,100,4.202620571100825,2.993229786281598,5.976088417396392,0.94725,"[0.9450161014586007, 0.9493979990111903]",1.560805777833422,0.9978074032028199,0.04061424822815167,0.94725,0.80655,0.703375
4,100,8.756170177118415,5.98994866120621,12.068957369495754,0.9477,"[0.9454749011529819, 0.9498391128891093]",1.6497067715233817,0.9989609665027874,0.027955834312779974,0.9477,0.8033,0.692275
5,100,17.593102243029158,12.219786840073375,24.494759144407965,0.9447,"[0.9424170596509155, 0.946897530575839]",1.5761799486015762,0.9993775377478392,0.01875244616743687,0.9447,0.80025,0.691025
6,100,34.392334178153675,24.624557137008694,48.86676861760147,0.941425,"[0.9390810199065978, 0.9436841993217473]",1.5486854290175898,0.9997974304787706,0.01219323743421932,0.941425,0.783325,0.66335
7,100,73.52894293403457,49.08611291676257,116.63456927970297,0.943425,"[0.9411180443864615, 0.9456467907187749]",1.64663108784565,0.9998708302814898,0.009659443238856886,0.943425,0.77785,0.66075
8,100,179.9889120132031,117.97705102014719,303.9027042221382,0.945075,"[0.9427991859200949, 0.9472653322835768]",1.4358008261100492,0.9999304782476164,0.006866186563101911,0.945075,0.8028,0.69385
9,100,713.6862341597439,305.65463215058287,8718.831953055962,0.93755,"[0.9351364068769409, 0.9398795565899277]",1.4019656298338763,0.9999810961781477,0.00412290976530778,0.93755,0.788625,0.6825
